000000000000001;000001;+496772893639034;+4901703097135;+4901703097135;2012-09-10T20:48:26+0200;2012-09-10T21:29:15+0200;0;0
000000000000002;000001;+49512119161046;+4901703097135;+4901703097135;2012-09-10T21:28:33+0200;2012-09-10T21:29:16+0200;0;0
000000000000003;000001;+493724209960164;+4901703097135;+4901703097135;2012-09-10T20:45:52+0200;2012-09-10T21:29:16+0200;1;0
000000000000004;000001;+497151317347766;+4901703097135;+4901703097135;2012-09-10T21:08:13+0200;2012-09-10T21:29:16+0200;1;0
000000000000005;000001;+499371957592058;+4901703097135;+4901703097135;2012-09-10T21:10:59+0200;2012-09-10T21:29:16+0200;0;0
000000000000006;000001;+492676947410356;+4901703097135;+4901703097135;2012-09-10T21:26:37+0200;2012-09-10T21:29:16+0200;1;0
000000000000007;000001;+495033209896134;+4901703097135;+4901703097135;2012-09-10T20:56:42+0200;2012-09-10T21:29:16+0200;0;0
000000000000008;000001;+492351931644754;+4901703097135;+4901703097135;2012-09-10T21:21:37+0200;2012-09-10T21:29:16+0200;1;0
000000000000009;000001;+49369591501822;+4901703097135;+4901703097135;2012-09-10T21:18:43+0200;2012-09-10T21:29:16+0200;1;0
000000000000010;000001;+496201237775694;+4901703097135;+4901703097135;2012-09-10T21:07:16+0200;2012-09-10T21:29:16+0200;1;0
000000000000011;000001;+4924249748012;+4901703097135;+4901703097135;2012-09-10T20:45:19+0200;2012-09-10T21:29:16+0200;0;0
000000000000012;000001;+499070186108789;+4901703097135;+4901703097135;2012-09-10T21:10:41+0200;2012-09-10T21:29:16+0200;1;0
000000000000013;000001;+496421844405936;+4901703097135;+4901703097135;2012-09-10T20:56:21+0200;2012-09-10T21:29:16+0200;1;0
000000000000014;000001;+499403995209455;+4901703097135;+4901703097135;2012-09-10T20:30:55+0200;2012-09-10T21:29:16+0200;0;0
000000000000015;000001;+4930793022729;+4901703097135;+4901703097135;2012-09-10T20:54:25+0200;2012-09-10T21:29:16+0200;1;0
